coaster_name,status,speed,height,length,num_inversions,material_type,manufacturer,seating_type,park_name,city,state,country,zip_code
Ravine Flyer II,status.operating,91.0,24.0,884.0,0.0,Hybrid,Gravity Group,Sit Down,Waldameer,Erie,Pennsylvania,United States,16505
Renegade,status.operating,,32.0,950.0,0.0,Wooden,GCI,Sit Down,Valleyfair,Shakopee,Minnesota,United States,55379
Revenge of the Mummy,status.operating,65.0,14.0,670.0,0.0,Steel,Premier Rides,Sit Down,Universal's Islands of Adventure,Orlando,Florida,United States,32819
Ride of Steel,status.operating,112.0,63.0,1645.0,0.0,Steel,Intamin,Sit Down,Six Flags Darien Lake,Corfu,New York,United States,14036
Rutschebanan,status.operating,50.0,13.0,720.0,0.0,Wooden,L.A. Thompson Scenic Railway,Sit Down,Tivoli Gardens,Copenhagen,Region Hovedstaden,Denmark,1630
Screamin' Eagle,status.operating,100.0,34.0,1180.0,0.0,Wooden,Philadelphia Toboggan Coaster,Sit Down,Six Flags St. Louis,Eureka,Missouri,United States,63025
Shambhala,status.operating,134.0,76.0,1564.0,0.0,Steel,B&M,Sit Down,PortAventura,Tarragona,Catalonia,Spain,43840
Shambhala,status.operating,134.0,76.0,1564.0,0.0,Steel,B&M,Sit Down,Port Aventura,,,,
SheiKra,status.operating,113.0,61.0,972.0,1.0,Steel,B&M,Floorless,Busch Gardens Tampa,Tampa,Florida,United States,33612
Shivering Timbers,status.operating,92.0,37.0,1641.0,0.0,Steel,CCI,Sit Down,Michigan's Adventure,Muskegon,Michigan,United States,49445
Shock Wave,status.operating,96.0,35.0,1097.0,2.0,Steel,Schwarzkopf,Sit Down,Six Flags Over Texas,Arlington,Texas,United States,76011
Sky Rocket,status.operating,100.0,45.0,263.0,1.0,na,Premier Rides,Sit Down,Chimelong Paradise,,,,
Sky Rocket,status.operating,80.0,29.0,640.0,3.0,Steel,Premier Rides,Sit Down,Kennywood,West Mifflin,Pennsylvania,United States,15122
Skyrush,status.operating,120.0,60.0,1100.0,0.0,Steel,Intamin,Sit Down,Hersheypark,Hershey,Pennsylvania,United States,17033
Space Mountain,status.operating,52.0,23.0,1052.0,0.0,Steel,Dynamic Attractions,Sit Down,Disneyland,Anaheim,California,United States,92802
Space Mountain,status.operating,,,,0.0,Steel,Vekoma,Sit Down,Formosan Aboriginal Culture Village,,,,
Space Mountain,status.operating,,,,,na,Zamperla,Sit Down,Mampato,,,,
Space Mountain,status.operating,,31.0,1052.0,0.0,Steel,Walt Disney Imagineering,Sit Down,Tokyo Disneyland,,,,
Steel Curtain,status.operating,120.0,67.0,1220.0,9.0,Steel,S&S,Sit Down,Kennywood,West Mifflin,Pennsylvania,United States,15122
